,employee_id,name,birthday,address,email,job,salary_year,latitude,longitude
0,29,Theresa Brown,1968-08-10,"449 Catherine Prairie
South Danielle, AS 95267",amy78@example.com,Manager,40000,-82.632828,15.428759
1,96,Fernando James,1998-08-11,"30252 William Lake
South Laura, WA 69361",kristine55@example.com,Manager Assistant,21000,17.337539,67.715834
2,8,Danielle Ramirez,1996-09-22,"775 Tucker Forges Suite 294
Collinshaven, OH 68363",ncollins@example.com,Teacher,30000,8.407966,154.612892
3,96,Rachel Peterson,1963-05-29,"PSC 3109, Box 0493
APO AP 14429",melissasanchez@example.org,Teacher,30000,23.5260915,-162.888275
4,95,Isaac Wright,1964-06-05,"00542 Jessica Pike
South Bridgetbury, FL 05254",cooperchristina@example.net,Teacher,30000,-59.6359495,-26.44062
5,14,Andre West,1965-12-12,"PSC 6927, Box 3151
APO AE 59197",aprilnorman@example.com,Teacher,30000,-1.9636895,-102.782148
6,47,Glenda Green,1991-05-26,"040 Evan Court
Reidhaven, PW 93312",vangjesse@example.com,Teacher,30000,-22.681552,-136.819896
7,85,Lori Mcbride,1987-04-27,"8020 Ortiz Creek Apt. 311
East Karenville, IL 03704",ichavez@example.net,Teacher,30000,-32.9709565,-67.18167
8,29,Jessica Hunt,2002-05-17,"921 Diaz Path Apt. 954
Kylechester, CT 14265",james07@example.org,Teacher,30000,81.0725225,80.845681
9,4,Steve Austin,1963-03-13,"1373 Ashley Lock Suite 256
West Davidland, RI 44342",smoyer@example.org,Teacher,30000,75.9419615,173.883648
10,66,Andrew Mccarthy,1982-08-14,"54787 Frederick Villages Suite 632
Carlsonside, NE 91677",willislisa@example.org,Teacher,30000,5.578384,-85.438571
11,23,Mrs. Jennifer Jones MD,1965-05-22,"3572 Rodriguez Plains Suite 158
Lake Willie, GA 21146",pmeza@example.com,Teacher Assistant,27000,63.931734,-102.279869
12,52,Nathan Pacheco,1988-11-29,"8074 King Street
Thorntonfort, MN 72273",jennifer13@example.net,Teacher Assistant,27000,-39.5675035,36.210738
13,32,Janet Ibarra,1963-08-16,"210 Harding Stream Suite 316
West Julie, OR 76551",tracysalazar@example.org,Teacher Assistant,27000,26.607821,78.801967
14,57,Keith Mcdonald,1976-10-13,"Unit 1507 Box 8197
DPO AP 44395",gadams@example.com,Teacher Assistant,27000,-68.5765455,149.361601
15,67,Carrie Christensen,1990-05-11,"27674 Alex Point
Rasmussenstad, AZ 71017",nelliott@example.net,Teacher Assistant,27000,43.75546,168.464249
16,20,Michael Dawson,1983-06-07,"5468 William Fords Suite 982
West Blakemouth, OH 30924",bryan11@example.net,Chef,23000,7.872474,-65.261762
17,31,Billy Ellis,1974-03-01,"2734 Moore Freeway Suite 352
Donaldberg, IN 35711",vross@example.com,Chef,23000,69.7452765,89.834715
18,80,Monique Flores,1990-01-05,"915 Foster Extensions Suite 577
East Lesliefurt, DC 04174",bellmichael@example.net,Maintenance ,20000,27.1527225,-175.497809
19,50,Cynthia Bass,1989-05-14,"255 Sara Court Apt. 354
South Michael, CO 45418",johnallen@example.net,Maintenance ,20000,0.317278,20.139586
