caregiver_id,caregiver_name,certificate_type,certificate_expiration_date
481.0,Timothy Fowler,D,2027-02-04
45.0,Jennifer Garza,A,2025-04-10
834.0,Terry Pierce,B,2031-06-24
223.0,Wayne Sanders,C,2031-07-24
384.0,Kevin Stanley,C,2029-10-06
362.0,Kathleen Sawyer,C,2027-08-03
263.0,Ana Clark,B,2026-07-08
885.0,Aaron Harris,C,2030-05-04
283.0,Catherine Cervantes,C,2024-09-24
191.0,Latoya Jacobs,D,2032-08-18
785.0,James Cortez,C,2024-01-16
664.0,Jennifer Young,B,2032-08-05
233.0,Kevin White,A,2029-10-25
772.0,Jason Wells,B,2027-08-15
875.0,Rebecca Tran,A,2024-03-04
83.0,Dylan Hancock,B,2024-05-10
887.0,Leslie Newton,A,2025-04-18
474.0,Mark Smith,B,2033-01-01
550.0,Kevin Ryan,C,2026-05-24
93.0,Daniel Willis,D,2026-05-21
