kid_id,name,dob,parent_id,medical_id,group_id
61.0,Jacob Medina,2018-08-14,961.0,8162.0,5606.0
772.0,Victor Nguyen,2019-05-24,37.0,9968.0,6998.0
429.0,April Porter,2023-05-19,603.0,2047.0,1237.0
652.0,Dave Estrada,2017-12-26,95.0,2955.0,1716.0
195.0,Alexander Harrington,2019-09-06,941.0,1135.0,9309.0
464.0,Robin Castro,2018-04-24,374.0,5757.0,9746.0
60.0,Joseph Moore,2018-06-22,891.0,4981.0,6714.0
238.0,Tanya Rubio,2022-12-20,791.0,5759.0,5550.0
776.0,Stephen Gibbs,2019-11-19,943.0,573.0,5946.0
78.0,Alyssa Guzman,2018-11-23,7.0,1624.0,4131.0
435.0,Cassandra Schmidt,2022-08-25,573.0,7323.0,6348.0
461.0,Michael Hunter,2022-12-05,57.0,7590.0,2865.0
888.0,Michael Bright,2019-05-13,360.0,8447.0,4198.0
778.0,James Moore,2018-06-03,540.0,5778.0,542.0
970.0,Wendy Anderson,2022-01-03,917.0,4379.0,9957.0
31.0,Kayla Ward,2018-05-31,483.0,2772.0,9458.0
951.0,Richard Norris,2022-01-24,751.0,2927.0,9237.0
396.0,Robin Davis,2020-04-06,835.0,911.0,6233.0
505.0,David Murphy,2019-05-06,861.0,9937.0,6699.0
689.0,Aaron Lowe,2018-06-18,844.0,3017.0,9556.0
775.0,Timothy Garcia,2021-05-06,642.0,7208.0,8291.0
206.0,Richard Reynolds,2022-07-11,825.0,552.0,7121.0
475.0,Sydney Mora,2023-02-12,834.0,8062.0,6644.0
218.0,Christopher Peterson,2018-10-28,59.0,2621.0,4890.0
924.0,Becky Powell,2020-04-24,434.0,808.0,6019.0
326.0,Erin Williams,2019-09-15,938.0,2908.0,6576.0
735.0,Brittany Sims,2020-02-16,729.0,5268.0,8273.0
894.0,Christopher Smith,2019-11-02,520.0,8927.0,304.0
705.0,Timothy Price,2018-05-29,647.0,4476.0,6467.0
813.0,Teresa Johnston,2021-01-07,63.0,9543.0,301.0
456.0,Karen Jackson,2022-08-04,312.0,1334.0,413.0
830.0,William Molina,2019-10-31,325.0,1484.0,3069.0
692.0,Jacob Johnson,2018-04-22,221.0,528.0,4482.0
189.0,Angelica Davidson,2021-08-24,918.0,5334.0,4977.0
630.0,Stacey Williams,2019-01-16,837.0,9619.0,8004.0
805.0,Debra Young,2021-10-02,81.0,3444.0,5746.0
42.0,Michael Robbins,2021-07-30,919.0,3210.0,3250.0
986.0,Ronnie Martinez,2020-03-07,695.0,9065.0,395.0
90.0,Christopher Kemp,2019-11-28,615.0,1032.0,8157.0
736.0,Samantha Lucas,2019-05-23,582.0,3776.0,6381.0
841.0,Amy Edwards,2021-09-30,139.0,1823.0,2649.0
971.0,Clayton Martin,2021-05-28,711.0,6598.0,2135.0
152.0,Kevin Johnson,2023-04-07,722.0,8964.0,5008.0
617.0,David Greene,2021-05-18,677.0,7569.0,8440.0
713.0,Amy Pollard,2022-06-05,219.0,3627.0,4727.0
953.0,Kimberly Davis,2021-11-05,268.0,2227.0,4829.0
138.0,Kathleen Hart,2023-10-18,853.0,4155.0,6100.0
56.0,Teresa Woods,2023-06-27,827.0,5533.0,8363.0
640.0,Roger Becker,2020-03-31,544.0,3695.0,5743.0
807.0,Toni Lee,2019-10-20,580.0,7460.0,9091.0
89.0,Amanda Holmes,2019-05-17,920.0,3019.0,8367.0
426.0,Charles Rojas,2023-07-19,562.0,7391.0,6155.0
822.0,Michelle Moore,2020-02-13,240.0,4014.0,8999.0
643.0,Mary Jacobs,2023-06-05,522.0,8319.0,8380.0
832.0,Dr. Daniel Williams,2023-10-22,942.0,7640.0,9373.0
