orders_id,invoice,transaction_id,card_number,total,pay,due_date,date
87.0,fa1b29c3-3e95-43cc-9bde-93046dfbe4aa,585.0,2283255538166202,165.0,89.0,2023-09-20,2023-10-29
192.0,e50b38c5-a076-43ca-9b16-e1f42b359322,599.0,5276396659448680,588.0,526.0,2023-01-04,2023-09-13
699.0,e89cbce9-2ea7-40d3-878b-580d44c1c487,609.0,5275907304833646,146.0,67.0,2023-09-21,2023-09-28
171.0,23ff87ce-eb71-445b-86de-9b5f85b41745,493.0,2270856093748089,568.0,194.0,2023-06-18,2023-07-30
557.0,492e69ea-4880-49ea-810e-ebfac306c8a0,399.0,2419355345772858,894.0,165.0,2023-11-16,2023-11-16
667.0,1a37c3a9-1b27-41ca-a000-41d29623730e,586.0,2235664302835091,898.0,209.0,2023-02-02,2023-08-18
128.0,c6f262d5-5efc-457b-9fee-30a94f65b4da,364.0,2720666666009645,359.0,267.0,2023-10-26,2023-11-07
788.0,770d8e5d-7db8-4887-ac4c-b02688aff555,418.0,2685203182316404,815.0,809.0,2023-02-09,2023-11-05
300.0,889bc4a5-6418-4ebd-b3ba-93d26d5bd40c,265.0,2511280534266552,844.0,445.0,2023-10-21,2023-11-05
500.0,be64d6cd-e417-496e-95b0-6971b8608d4f,323.0,2233125743645764,666.0,344.0,2023-03-31,2023-09-14
79.0,74313106-79e7-48a7-a2f1-fee5f0c0382b,875.0,2265219016812655,901.0,852.0,2023-04-25,2023-10-02
202.0,c81045c6-6b3a-4981-b87f-abaeae8730c9,195.0,2672730965312643,686.0,485.0,2023-08-24,2023-11-10
927.0,a35cf6a4-43c2-4d0a-a086-a6fe4f5352b8,572.0,2245249745141907,980.0,220.0,2023-04-23,2023-08-03
594.0,650e0ddd-d459-40dc-a2a8-da3ae6df1e3a,528.0,5450063053130805,640.0,332.0,2023-08-04,2023-11-09
736.0,d6d431ae-2007-43c6-834b-0c9f1f201a21,164.0,2503400858858277,747.0,70.0,2023-08-09,2023-11-13
519.0,e6443a8e-e9c0-486a-ab16-1fe77351d4b7,450.0,2522497091526544,191.0,132.0,2023-09-06,2023-09-13
211.0,483b239f-e651-458a-81ab-5e33538a167c,985.0,5177404343042834,947.0,287.0,2023-09-30,2023-11-08
616.0,1cd7382f-9821-466d-a548-fd7e359183e6,596.0,2532056949529254,402.0,294.0,2023-07-05,2023-07-21
533.0,2554a5a1-69b9-4820-b1e1-194361f8799f,857.0,2461884480709455,499.0,239.0,2023-03-10,2023-07-04
877.0,240682a2-80a6-41a1-87ad-cfc9e1d0fe28,222.0,2263821839698716,611.0,253.0,2023-02-25,2023-06-14
765.0,d8ec203e-7cc0-48a4-b0be-e0b3a9edf668,499.0,5519649696608220,980.0,916.0,2023-01-04,2023-04-28
347.0,1b3c4221-1921-4107-98a5-4afdb35c64c5,227.0,2262956639645144,803.0,84.0,2023-08-29,2023-11-05
371.0,52d5b3a8-8b40-4ae7-8756-18aa9f0e84a7,975.0,5497027287470183,498.0,172.0,2023-11-12,2023-11-15
