staff_id,name,dob,phone,address,gender,caregiver_id,transaction_id
429.0,Angela Mullen,1983-03-08,968-449-0972x2922,"20707 Cameron Lakes
East Jessicafurt, MD 84277",Female,733.0,654.0
676.0,Frederick Hudson DVM,2002-08-25,313-606-1985,"05979 Barbara Roads Apt. 140
West Sandraview, AS 24271",Male,540.0,46.0
240.0,Tamara Roberts,1994-09-30,001-947-693-7625x96470,"0222 Booth Crossing
North Patriciabury, KY 13831",Other,391.0,628.0
494.0,Yolanda Erickson,1991-06-01,001-593-364-2691x071,"08962 Dalton Viaduct Suite 588
New Walter, PA 87231",Female,365.0,113.0
256.0,Carly Ford,1998-02-08,+1-644-942-7336x8012,"47557 Perez Forest Suite 344
West Ruthbury, LA 06109",Male,250.0,822.0
977.0,Amy Jones,1988-04-06,(691)438-9338x9471,"PSC 6783, Box 4186
APO AA 76228",Other,984.0,886.0
231.0,Darren Williams,1996-05-10,+1-752-452-1332,"50053 Patterson Fall
Erinbury, ND 30347",Female,303.0,779.0
248.0,Daniel Johnson,1988-12-30,963.486.1179x369,"3814 Amy Motorway
Jimside, GA 88931",Male,478.0,215.0
29.0,Tanner Boyd,1993-02-16,001-811-278-0577x5317,"36620 Michael Trail
Lewischester, IN 27711",Female,41.0,951.0
408.0,Daniel Hernandez,2001-07-03,001-775-267-1835,"43754 Robinson Circles
Port Seantown, KS 04504",Male,918.0,677.0
994.0,Brenda Nguyen,1983-07-17,6544004555,"2475 Wells Ports
South Anna, MI 27553",Male,426.0,877.0
476.0,Albert Ochoa,1986-07-16,(305)467-8464,"86765 Velazquez Plain Apt. 827
Troymouth, AK 89787",Other,278.0,253.0
184.0,Melissa Wheeler,1987-12-14,(490)517-1031x36108,"Unit 5375 Box 1659
DPO AA 07567",Female,962.0,372.0
562.0,Jennifer Clarke,1994-10-01,001-638-511-8025,"668 Kevin Pike
North Johnville, PW 46700",Other,773.0,698.0
758.0,Juan Giles,2002-11-14,546.944.3753x81608,"PSC 2134, Box 1651
APO AP 15642",Other,925.0,134.0
475.0,Lisa Matthews,1997-08-27,+1-252-325-0173,"7093 Katherine Drive Apt. 595
North Jonathanmouth, KS 72474",Other,202.0,425.0
720.0,Alan Henderson,1999-07-20,333.741.1672,"7413 Jessica Tunnel Suite 987
Port Stephanie, HI 11335",Male,585.0,866.0
224.0,Terry Yang,1997-12-09,+1-295-255-0387,"Unit 2885 Box 0714
DPO AE 80224",Other,103.0,363.0
889.0,Adam Miles,1997-08-23,642.264.9873,"684 Danielle Cliffs Suite 870
South Barbara, MH 40567",Female,629.0,227.0
183.0,Emily Ruiz,1998-02-20,001-764-237-3934x97470,"USNV Sparks
FPO AA 21381",Other,394.0,189.0
