transaction_id,card_number,total,amount,due_date,date,name,type
78.0,4973875211526864730,503.0,295.0,2023-12-12,2020-08-02,Daniel Allen,Debit
34.0,4290423615205467910,126.0,97.0,2023-12-28,2022-05-15,Matthew Lowe,Check
734.0,6011473902912099,425.0,97.0,2024-05-27,2022-02-01,Matthew Petty DDS,Credit
17.0,3564246648818913,435.0,402.0,2024-04-19,2022-06-17,Michelle Anderson,Check
410.0,060423689144,255.0,85.0,2024-02-28,2020-11-01,Lance Lucero,Check
640.0,3532071632746261,875.0,407.0,2024-08-15,2020-09-09,Ronald Blair,Credit
414.0,6011392517565425,188.0,127.0,2024-10-31,2020-02-20,Adriana Foster,Credit
739.0,30473013727188,533.0,395.0,2024-06-16,2023-05-13,William Mooney,Check
133.0,4705469654479,565.0,446.0,2023-12-01,2023-10-25,Christopher Santos,Debit
686.0,4103114628477999006,301.0,106.0,2024-10-12,2022-11-30,Donald Martin,Credit
805.0,3554307461990627,996.0,508.0,2024-03-27,2020-03-06,Richard Moran,Credit
194.0,340578983679428,245.0,25.0,2024-03-27,2022-05-15,Carol Reed,Debit
933.0,213149928003050,832.0,48.0,2024-10-13,2021-11-20,Angel Werner,Debit
485.0,566681367249,403.0,260.0,2024-09-10,2021-04-14,Christine Sharp,Debit
297.0,676376999808,29.0,19.0,2024-07-23,2023-10-25,Alexandra Blair,Credit
683.0,2246199470126517,139.0,107.0,2024-07-02,2022-10-25,Sarah Bowers,Check
246.0,30443348031846,610.0,325.0,2023-11-19,2021-08-25,Melvin Hill,Check
655.0,6011485493979311,853.0,746.0,2024-02-16,2023-04-03,Fernando Barnes,Credit
589.0,4024366999624060650,185.0,68.0,2024-11-16,2023-06-02,Michele Preston,Check
695.0,180059047937600,710.0,138.0,2024-05-07,2023-05-03,Amanda Martinez,Debit
894.0,180065778984158,299.0,248.0,2024-07-11,2022-06-08,James Giles,Debit
620.0,3525396296941018,44.0,30.0,2024-11-03,2021-08-27,Jenna Lewis,Check
927.0,3561517067620367,142.0,65.0,2024-03-10,2023-08-07,Mario Wilson,Debit
511.0,4644128496223663,30.0,8.0,2024-01-30,2021-03-19,Jose Munoz,Credit
352.0,3501249242812452,895.0,559.0,2024-06-05,2021-05-25,Mr. Robert Young,Credit
301.0,5140644629857462,856.0,384.0,2024-10-05,2020-06-28,Carl Richardson,Debit
501.0,4552933334720663013,667.0,306.0,2023-12-04,2022-08-22,Bruce Carter,Debit
