transaction_id,card_number,total,amount,due_date,date,name,type
159.0,343242423673171,151.0,25.0,2024-09-01,2021-02-20,John Brown,Debit
236.0,4989728384983,197.0,84.0,2024-09-23,2021-01-28,Joseph Swanson,Debit
610.0,3597553795423624,211.0,67.0,2024-04-17,2020-04-21,Ms. Jean Garrison,Credit
160.0,676216870300,311.0,188.0,2024-04-10,2023-01-23,Bailey Long,Credit
855.0,576158551993,618.0,199.0,2024-05-24,2021-03-09,William Coffey,Credit
458.0,371942061548933,718.0,32.0,2024-02-20,2022-01-02,Kristina Oconnell,Credit
729.0,4914464381483947520,134.0,19.0,2024-04-01,2023-11-14,Danielle Thomas,Check
895.0,4533991112643018,239.0,232.0,2024-06-05,2022-07-20,Christopher Newton,Credit
205.0,3508383804914332,749.0,393.0,2024-05-25,2022-05-07,Tammie Fisher,Check
826.0,4639187600276,868.0,583.0,2023-12-26,2022-09-12,Monica Harris,Credit
193.0,3560348720592210,129.0,103.0,2024-03-26,2022-12-10,Sara Smith,Check
502.0,502066176160,592.0,170.0,2024-04-08,2021-09-15,Mallory Allen,Check
829.0,2483152558145067,125.0,60.0,2024-08-26,2021-09-24,Matthew Bruce,Credit
529.0,30405016902426,526.0,130.0,2024-06-12,2021-09-07,Bryan Cortez,Debit
758.0,4845023976754141248,302.0,175.0,2024-05-05,2021-06-15,Valerie Lamb,Debit
814.0,4917960752712267264,664.0,559.0,2024-09-08,2020-01-09,Tammy Harris,Check
687.0,3550040646054340,236.0,101.0,2024-02-27,2023-08-21,Sharon Collins,Credit
975.0,2720188139994972,781.0,13.0,2024-06-12,2021-09-08,Kyle Miller,Check
504.0,370266506003226,188.0,27.0,2024-09-05,2020-12-12,Kristen Williams,Debit
643.0,213110041621814,180.0,163.0,2024-02-14,2021-01-06,Craig Evans,Credit
287.0,340162135879325,517.0,219.0,2024-03-23,2023-02-27,Ryan Hogan,Credit
465.0,180050761167318,921.0,908.0,2024-08-05,2022-05-11,Scott King,Credit
757.0,4976435009447269,764.0,134.0,2024-11-10,2023-05-17,James Martin,Check
11.0,4916238631143303,642.0,464.0,2024-07-29,2021-10-09,Randy Stanton,Check
897.0,6504184246143176,762.0,749.0,2024-08-24,2020-07-15,James Brady,Credit
858.0,30439414839286,16.0,7.0,2024-09-28,2020-10-23,Edward Smith,Credit
637.0,6011749776606440,848.0,166.0,2024-11-17,2022-03-22,Samantha Hines,Debit
983.0,5468615765196323,41.0,20.0,2024-03-11,2022-11-19,Richard Baldwin,Credit
173.0,2283853626725366,71.0,34.0,2024-10-30,2023-04-01,Daniel Jones,Debit
882.0,4132320297978,792.0,50.0,2024-01-17,2021-11-23,Elizabeth Boyer MD,Check
66.0,3560481805892922,298.0,108.0,2024-09-06,2021-01-14,Christopher Aguilar,Check
208.0,30256608268282,746.0,468.0,2024-10-17,2023-07-04,Steve Martinez,Check
96.0,3537237466132523,710.0,520.0,2024-02-25,2020-08-11,John Fuentes,Credit
270.0,4427388907302992,529.0,52.0,2024-03-06,2021-09-20,Mary Medina,Credit
900.0,4240425193420073,92.0,32.0,2024-07-19,2020-08-03,Patricia Gonzalez,Credit
352.0,373109139368318,102.0,47.0,2024-07-18,2020-10-10,Maureen Dickson,Credit
785.0,2546929319127681,153.0,33.0,2023-12-04,2022-11-24,Brandon Wise,Debit
761.0,4696896846163356128,83.0,48.0,2024-09-03,2021-11-19,Patrick Esparza DDS,Credit
392.0,30549682354865,304.0,215.0,2024-11-01,2021-04-05,Donna Martinez,Check
333.0,4564714167200761,190.0,28.0,2024-02-11,2022-05-19,Alejandro Harper,Credit
503.0,060463361240,371.0,132.0,2023-12-13,2021-12-28,Molly Banks,Debit
296.0,676341100797,914.0,421.0,2024-02-14,2020-12-03,Melissa Case,Debit
31.0,6532065913772098,169.0,130.0,2024-08-22,2022-06-06,Victoria Roberts,Debit
688.0,30309088067524,168.0,147.0,2024-03-21,2022-02-05,Kevin Ward,Check
