kid_id,name,dob,parent_id,medical_id,group_id
939.0,Ricardo Johns,2022-08-14,226.0,6743.0,9558.0
854.0,Jacob Jackson,2022-11-26,746.0,8707.0,4727.0
562.0,Rebecca Reese,2023-06-15,36.0,6698.0,2032.0
497.0,Mr. John Marquez Jr.,2021-02-12,941.0,7464.0,1640.0
991.0,Beth Peck,2023-03-17,377.0,5934.0,5866.0
435.0,David Wood,2017-11-20,737.0,6383.0,1916.0
716.0,Sherri Miller,2021-02-20,119.0,7577.0,1533.0
760.0,Ricardo Davis,2018-05-15,122.0,7660.0,1084.0
476.0,Loretta Galvan,2023-01-30,432.0,1352.0,5581.0
994.0,Joseph Griffith,2018-08-27,568.0,6874.0,8941.0
153.0,Kathleen Salinas,2022-08-07,44.0,6049.0,1698.0
798.0,Erica Watts,2021-03-26,346.0,7801.0,5264.0
413.0,Noah Jones,2023-10-04,519.0,2656.0,7456.0
575.0,Franklin Keller,2021-06-01,216.0,9665.0,838.0
75.0,Emily Mckenzie,2020-10-11,709.0,2467.0,6357.0
61.0,Tracey Hill,2020-04-24,555.0,3470.0,2535.0
100.0,Pamela Fleming,2022-01-01,376.0,9452.0,4972.0
620.0,Latoya Frazier,2023-08-07,329.0,3326.0,7587.0
284.0,Stacy Brown,2023-03-03,674.0,6694.0,193.0
60.0,Jasmine Holmes,2019-08-24,992.0,679.0,6961.0
68.0,Sean Mills,2020-09-08,323.0,9242.0,998.0
621.0,Jay Stevenson,2023-09-20,158.0,5374.0,7839.0
963.0,Rachel Coleman,2018-12-30,891.0,2034.0,6103.0
144.0,Brenda Maynard,2022-06-17,520.0,2127.0,1602.0
48.0,Michael Hogan,2021-08-26,988.0,6781.0,3324.0
672.0,Nicholas Reed,2022-12-31,390.0,1494.0,1089.0
590.0,Andrew Smith,2018-12-04,198.0,7720.0,6028.0
663.0,Michael Carrillo,2023-08-04,577.0,9764.0,8189.0
869.0,Mark Farmer,2018-12-25,33.0,6840.0,8212.0
975.0,Sarah Ponce,2020-10-20,756.0,4025.0,6467.0
622.0,Teresa Riggs,2018-01-10,262.0,2195.0,3677.0
288.0,April Smith,2023-02-05,571.0,165.0,5241.0
687.0,Stephanie Brewer,2023-05-05,989.0,3742.0,4663.0
806.0,Kristin Melton,2019-08-17,700.0,7366.0,2820.0
517.0,Chelsea Wilson,2019-02-25,689.0,4258.0,2391.0
592.0,Rachel Gregory,2018-07-10,653.0,6723.0,7442.0
203.0,Clifford Richmond,2020-07-07,704.0,470.0,8403.0
316.0,Christopher Nelson,2022-07-21,558.0,8840.0,8492.0
404.0,Mr. William Day,2020-01-28,980.0,3311.0,1085.0
933.0,Anne Smith,2022-02-19,753.0,1385.0,3420.0
232.0,Vanessa Griffith,2020-01-06,391.0,7398.0,2610.0
512.0,Amy Kaiser,2020-08-22,943.0,4094.0,1970.0
929.0,Mariah Walton,2018-07-22,213.0,2094.0,7639.0
612.0,Hannah Vargas,2022-01-01,675.0,7605.0,8107.0
935.0,Andrea Garcia,2019-12-21,840.0,5853.0,8042.0
177.0,Karen Matthews,2023-04-04,11.0,8105.0,9927.0
934.0,Curtis Rogers,2022-08-19,457.0,9241.0,9978.0
547.0,Sandra Bartlett,2023-09-17,846.0,8386.0,6516.0
400.0,Dr. Monica Miller DVM,2020-06-27,862.0,3731.0,1305.0
719.0,Betty Phillips,2019-07-03,157.0,8954.0,6141.0
299.0,Meghan Robinson,2018-05-24,585.0,3801.0,3779.0
475.0,Mr. Benjamin Williams,2018-01-01,344.0,8066.0,7955.0
738.0,Anthony Jones,2021-03-24,155.0,9372.0,106.0
823.0,Robert Cardenas,2023-06-26,942.0,248.0,9876.0
720.0,Margaret Walker,2020-05-25,309.0,821.0,3490.0
967.0,Bryan Payne,2020-04-10,498.0,8552.0,5350.0
971.0,Scott Montoya,2020-07-02,925.0,8641.0,9783.0
67.0,Nicole Mosley,2022-08-27,565.0,4109.0,6167.0
45.0,Eric Chang,2023-05-28,725.0,9419.0,4669.0
679.0,Sarah Mayo,2021-07-29,492.0,3963.0,7773.0
46.0,Patrick Morris,2023-10-02,819.0,6560.0,1265.0
721.0,Rachel Jones,2023-01-05,294.0,6351.0,7528.0
535.0,Jennifer Rowe,2018-06-17,990.0,3055.0,7898.0
428.0,John Anderson,2021-11-18,398.0,3745.0,7612.0
787.0,Kimberly Ali,2020-10-17,206.0,2767.0,888.0
944.0,Sheila Butler,2018-08-09,217.0,2085.0,1915.0
