orders_id,invoice,transaction_id,card_number,total,pay,due_date,date
190.0,2e5bdeee-9e7e-42b8-97b8-3fb29464c5f2,19.0,2287100090297886,522.0,367.0,2023-07-20,2023-10-16
942.0,e35df5e2-7aa2-4c35-8a50-d9e549193b7d,277.0,5229586678088917,319.0,85.0,2023-01-28,2023-06-26
188.0,13dc4672-13eb-404f-b689-c1ebb257bb5e,551.0,2273913166844662,914.0,311.0,2023-03-19,2023-05-12
215.0,01e8219e-192d-4d94-93e3-c0c563fe57af,241.0,2720697118048139,983.0,338.0,2023-08-21,2023-10-19
238.0,7131598d-5e2a-4fe4-a06e-f25fa12dbbb3,912.0,2287138045534219,522.0,360.0,2023-06-11,2023-09-02
117.0,b5b8a6d2-4421-4cf4-8440-340e6b2d0be5,890.0,5124398130079898,224.0,155.0,2023-03-15,2023-08-20
443.0,6af2d4db-87d5-4ccb-b369-4b6ea645f203,125.0,5204809862919005,354.0,125.0,2023-03-11,2023-09-16
301.0,53b1bde6-c943-470a-b120-f8b1e3771232,929.0,2623147184442400,198.0,61.0,2023-01-01,2023-03-28
234.0,a4f5e8b0-2980-443c-be5b-538b240a2820,693.0,2720348415916079,186.0,86.0,2023-01-01,2023-05-11
452.0,3290d454-771f-4b2f-909a-8372e4500085,392.0,2643002460781268,262.0,50.0,2023-02-09,2023-10-28
658.0,13c278ff-f298-47bf-9122-c9c2ccf6d728,499.0,5599762893529603,270.0,120.0,2023-08-08,2023-09-02
361.0,274f4a77-adcf-4677-83bd-6452edc3395a,851.0,5450250449297071,666.0,305.0,2023-03-04,2023-10-23
33.0,522113d9-d625-4c87-95ce-953526c7d43c,837.0,2277188297002714,448.0,175.0,2023-01-28,2023-03-09
758.0,1539d8b2-4dd9-4924-b99f-90fa65bd4d51,136.0,2400188158896378,113.0,80.0,2023-06-30,2023-09-21
982.0,984dbb72-50f3-4fb8-96ed-e13a82bb2027,854.0,2720197830196274,149.0,75.0,2023-05-02,2023-08-13
497.0,ac67641a-9a53-441b-b5ae-4ddd25a81bbd,98.0,2420028801876144,981.0,556.0,2023-04-27,2023-07-10
135.0,c1dd1838-f482-40f9-ae77-d5764b4bad71,563.0,5545207595046600,138.0,98.0,2023-03-22,2023-09-28
181.0,f4c1a090-d8b0-44d9-a77e-5707be59ce1c,24.0,5155654705116891,956.0,257.0,2023-11-12,2023-11-16
74.0,4f61da31-4696-4e1c-9ea5-1c0896c24ba1,118.0,2468741666735790,480.0,422.0,2023-10-31,2023-11-04
866.0,4927e2de-3edc-4461-ab12-a0be1103d00a,858.0,2273916497383029,396.0,315.0,2023-11-06,2023-11-14
819.0,3d818d2d-0bbd-439e-b749-d6710d88b8f4,989.0,5352322434520939,102.0,56.0,2023-05-15,2023-06-25
605.0,d920d88f-33c4-4877-abbd-fc0ec84cb19f,381.0,2292208186168284,169.0,112.0,2023-03-25,2023-03-25
370.0,55043597-2e8a-4efd-a9f9-5c1f8eefd22a,677.0,2280615583274131,465.0,192.0,2023-02-01,2023-03-16
123.0,ed4922d1-f48f-41c5-aeee-f0568643fcac,243.0,2260335821079119,182.0,94.0,2023-04-07,2023-04-30
441.0,28416681-4bb5-44eb-a27e-2aeba48ff9e6,996.0,2253376778324297,144.0,100.0,2023-01-18,2023-02-16
933.0,421ad1a1-736c-40cd-b9b6-bebc4125c475,670.0,2285894013235286,614.0,359.0,2023-03-06,2023-10-24
587.0,13461a43-0b20-4492-a099-bf5a4b858f17,386.0,2264715862604055,525.0,83.0,2023-04-11,2023-04-29
609.0,d4030ad7-cabc-4ed7-8e9c-94b85306102e,598.0,2720072074936448,581.0,360.0,2023-07-09,2023-11-05
126.0,ee482fd2-0533-4b3f-935c-a6462119d388,332.0,5593021144603477,772.0,387.0,2023-04-08,2023-06-28
486.0,a006f67a-7654-42c2-ac5d-14bc0f3b96d9,867.0,2629375401635324,751.0,223.0,2023-01-24,2023-07-21
295.0,b9b0b0c4-2e97-45fb-84f6-e253350f6b75,688.0,2670880193750858,858.0,139.0,2023-05-16,2023-07-31
518.0,4dcddbec-25b4-4063-af24-fce39a1df6c8,727.0,2407059401814661,588.0,566.0,2023-09-27,2023-11-15
97.0,6b01cb1e-924c-4a6a-bca5-a2cb26ec44c7,320.0,2704041096916092,711.0,523.0,2023-06-16,2023-07-17
165.0,b4367daf-697a-4b02-b780-fc6997261063,150.0,2257178726605397,879.0,601.0,2023-02-04,2023-10-03
9.0,7c7a7dbd-f4b2-4f5c-a6ad-d2b26f7f42d4,233.0,2248693421724154,390.0,334.0,2023-07-30,2023-10-01
645.0,057ea3af-6e63-4413-9c35-76e7d765293f,750.0,2348348716631429,440.0,289.0,2023-03-19,2023-11-08
632.0,57a76afd-a9ea-455c-b44a-c77779b5cd99,433.0,2720494555734557,632.0,632.0,2023-04-24,2023-05-02
327.0,4be59e5e-9f5a-48ba-bbcb-7ec0fab68f0f,415.0,2606288451222041,644.0,75.0,2023-03-01,2023-06-02
939.0,b5d4614a-67cc-4cd3-959a-2e04aeddf547,805.0,2542929751848103,153.0,143.0,2023-01-03,2023-07-24
232.0,4522d618-7f97-4843-86e4-cb1881c8775c,382.0,2512066257495521,642.0,270.0,2023-07-02,2023-07-02
958.0,f6a6d803-d61e-460d-b008-642b4e80c983,899.0,2286509644744584,734.0,528.0,2023-08-13,2023-09-18
198.0,cecdd2ae-3db8-4705-9cf1-c97da620be42,630.0,2366441987939949,264.0,245.0,2023-11-09,2023-11-13
585.0,8d04759e-172a-482f-ba3f-243a854f952f,757.0,2280655123334102,976.0,598.0,2023-02-04,2023-09-14
60.0,a6ebf47b-bd9a-4d5f-8cbf-50cc4bc84afe,599.0,5247518715203116,915.0,742.0,2023-04-30,2023-09-22
895.0,cf7cd4b7-dedc-48aa-b97f-9d2825a70c9f,25.0,2253270278335525,450.0,168.0,2023-02-24,2023-07-04
555.0,a15c3c48-59d9-4fb0-b09a-6a693a64cdcd,158.0,2373184078203301,128.0,55.0,2023-07-17,2023-07-18
410.0,1d222b1f-ee56-4b99-81d6-85e7e1dd1450,842.0,5308097408674954,435.0,233.0,2023-09-24,2023-10-12
485.0,d5f04a39-9a68-41db-b09b-6a5a5658e480,138.0,2603428549707479,298.0,257.0,2023-10-03,2023-11-13
45.0,d4c63171-bba3-42a9-88c7-7384a3b38393,187.0,5357165524024790,584.0,423.0,2023-08-12,2023-08-14
747.0,ba2e936b-bbbd-45d9-9082-ea9995297ed2,811.0,2392278716616986,959.0,769.0,2023-02-05,2023-03-16
947.0,ebafe863-8fd5-4d96-b3d1-6e86cc6d85b1,484.0,2452968203080210,227.0,171.0,2023-10-24,2023-11-01
96.0,ce7e26e6-331e-4a7a-b990-592f3c850f3e,394.0,5198219849882607,822.0,694.0,2023-09-09,2023-10-14
873.0,5cabfdf9-a971-4826-8d2b-727cdc6c2c31,610.0,2297996948015042,470.0,175.0,2023-06-28,2023-10-28
170.0,a31c8ac8-02da-480a-adfc-0b19215083d3,141.0,2248475727541031,285.0,266.0,2023-05-24,2023-07-30
584.0,cb27876b-36aa-4fe0-9080-2a3256f44f3b,239.0,5412191873234346,426.0,61.0,2023-10-02,2023-11-11
210.0,0e389f4b-a8cb-46bb-ada0-e2388544c555,894.0,2256082916180941,764.0,95.0,2023-06-05,2023-06-16
31.0,3be53594-2887-4d57-9403-7aa054c2f1ea,30.0,5145467605706080,202.0,70.0,2023-06-21,2023-08-23
137.0,3f2bf6da-a26e-4304-85be-6f21bf8ed0a1,304.0,2714305594371359,227.0,180.0,2023-06-06,2023-10-03
621.0,429e517c-1471-4efb-833c-dd82ec16fb8c,628.0,2284652021112439,611.0,502.0,2023-09-25,2023-09-30
529.0,3ccc023d-e135-4049-8fb7-94837b2aa658,710.0,2231682463764102,583.0,104.0,2023-09-25,2023-10-26
50.0,13aa5437-c4a1-4d60-af18-df10f18d20f0,284.0,5507860222022026,613.0,583.0,2023-03-12,2023-06-14
406.0,6fdd39d8-19bf-4d41-81d8-ab7bb403cdb1,430.0,5173809846271165,717.0,419.0,2023-06-13,2023-11-01
719.0,cddb04bd-1840-48e7-8c8a-954d7e193306,603.0,2720480625909642,629.0,243.0,2023-09-14,2023-10-15
252.0,7459dd6e-6fbf-4b57-ada1-1fc01b368485,288.0,5212311767805371,234.0,164.0,2023-07-21,2023-07-23
686.0,e6486e46-5540-44e4-9152-c6a66594593c,984.0,2448708368674846,579.0,272.0,2023-08-25,2023-11-17
807.0,22557177-ec55-4e5d-8be8-43b11d98d4a8,108.0,2398602413711564,536.0,366.0,2023-06-09,2023-11-17
352.0,cb69bf89-72f6-4539-bb26-5c3e43dd6eca,253.0,2531019548044423,588.0,251.0,2023-08-13,2023-08-25
573.0,f5770095-4d59-49cb-b01e-7014ef712752,445.0,2297547325668844,975.0,753.0,2023-05-29,2023-10-18
458.0,65ef0816-c2ba-44be-8b2c-1cf1675c987a,455.0,5350348358275251,172.0,141.0,2023-09-20,2023-10-19
208.0,f27ac67a-6cbd-41cb-b739-dc3c23bfb5fa,505.0,2594296573003995,522.0,478.0,2023-09-16,2023-10-22
460.0,8ea02ef5-b360-494c-b3ec-ac87f7d9a052,547.0,2222071980149206,433.0,246.0,2023-05-30,2023-08-16
424.0,c84dfed9-3d87-4dd0-a53d-a6c462b8588c,648.0,5278061677466522,617.0,491.0,2023-02-06,2023-05-20
18.0,364d0a2e-9e3a-4bc4-b46a-6db02270d0c2,40.0,5549046106029135,715.0,420.0,2023-08-01,2023-10-27
457.0,5e786bd1-6dbc-423f-a9f2-96ac9f24b5eb,172.0,2253343834767034,293.0,83.0,2023-07-29,2023-08-30
