staff_id,name,dob,phone,address,gender,caregiver_id,transaction_id
521.0,Michael Morales,1992-08-07,+1-437-618-5178x054,"USS Mejia
FPO AP 14233",Other,687.0,710.0
122.0,Ashley Thompson,2000-03-10,8803712355,"487 David Point Suite 564
Port Charlesstad, TN 68273",Female,756.0,971.0
636.0,Susan White,1990-10-12,+1-221-872-5881x35217,"074 Jennifer Viaduct
Natalieville, FL 29524",Female,831.0,394.0
211.0,Gina Bird,1984-11-26,(201)755-9883,"6819 Powell Junction
Jessicamouth, FL 37080",Other,534.0,244.0
434.0,Joshua Horton,1990-02-23,445.766.9572x0762,"11439 Danielle Haven
Maymouth, WA 27040",Female,321.0,74.0
614.0,Heather Bailey,1991-09-15,(612)474-7662x09889,"PSC 9553, Box 4644
APO AA 11994",Other,325.0,566.0
954.0,Elaine Hunter,1988-10-07,242-422-3995x10477,"321 William Causeway Suite 619
Lorichester, MH 29964",Other,713.0,360.0
567.0,Michael Quinn,1992-01-17,437-710-4179x7499,"PSC 2609, Box 3258
APO AA 81166",Male,445.0,778.0
194.0,Katie Anderson,1994-09-09,743.202.6830x39699,"625 Joseph Meadows
Melissamouth, FL 36928",Other,280.0,642.0
885.0,Hailey Prince,1983-01-28,001-983-807-6522x655,"820 Stephanie Ranch
Kristafort, MH 97616",Female,956.0,551.0
96.0,Megan Nixon,1984-08-23,794-787-9539x0872,"12596 James Station
Paulburgh, AZ 55146",Other,626.0,806.0
836.0,Christopher Davis,1988-07-31,8934149791,"7828 Davenport Gateway Suite 363
Port Angelamouth, MN 79679",Female,425.0,991.0
791.0,Mary Patel,1990-06-14,001-318-245-8665,"554 Ross Tunnel Suite 469
East Cathyborough, FL 87037",Male,109.0,169.0
141.0,Bonnie Martinez,1991-09-16,(230)972-5685x96793,"0105 Simpson Overpass Suite 387
Melaniebury, NC 77018",Female,287.0,259.0
870.0,Diane Joseph,1994-12-08,6722473856,"04455 Wendy Spurs Suite 287
Johnsonside, WY 84314",Other,166.0,460.0
508.0,Tammy Shannon,1993-02-08,(762)816-5232,"322 Cassandra Drives
Waltonchester, NM 39276",Male,781.0,131.0
864.0,Jessica Moreno,2000-04-02,5625603512,"117 Harmon Haven Apt. 147
Danielleville, IA 05271",Female,931.0,57.0
93.0,Kristina Black,1984-03-19,001-361-790-0383x1169,"USNS Stewart
FPO AA 99334",Other,255.0,234.0
89.0,Carrie Jackson,1996-03-14,329-288-4726,"779 Munoz Locks Suite 831
East Ryanport, PW 93630",Female,517.0,427.0
467.0,Steven Vang,1994-02-22,+1-542-528-5704x225,"7988 Hudson Loop Suite 125
Henryborough, TN 74699",Male,79.0,188.0
