transaction_id,card_number,total,amount,due_date,date,name,type
545.0,2720373622162796,409.0,341.0,2024-07-10,2022-06-12,Ann Smith,Debit
956.0,3561974971731626,717.0,105.0,2023-12-25,2022-09-26,Michael Martin,Debit
228.0,4414822489493113,934.0,371.0,2024-02-25,2021-03-25,Michael George,Debit
320.0,4394198511780361,711.0,357.0,2024-07-16,2021-10-15,Cody Ruiz,Check
937.0,213146684809886,353.0,42.0,2024-07-27,2023-08-16,Patricia Wilkinson,Credit
452.0,2707564305621846,930.0,343.0,2024-08-06,2020-11-01,Nicholas Montgomery,Debit
146.0,4362789472312307224,492.0,199.0,2024-02-05,2021-12-06,Manuel Sullivan,Credit
883.0,4278822791262714,889.0,390.0,2023-11-29,2020-06-04,Melvin Howell,Credit
740.0,4848339836825,659.0,274.0,2024-09-12,2020-06-03,Julie Gomez,Check
600.0,4663528534895276253,194.0,33.0,2024-05-21,2023-06-22,Jacqueline Villanueva,Debit
484.0,2720441871413408,769.0,344.0,2024-11-05,2023-05-02,Jasmine Thompson,Check
604.0,4080099871896806,735.0,272.0,2024-01-06,2021-10-05,Kyle Gonzales,Check
385.0,3551577975744438,30.0,28.0,2024-11-04,2023-04-06,Brandon Brown,Debit
495.0,4109600251120977,973.0,4.0,2024-02-25,2022-11-19,Victor Singh,Debit
186.0,4251742700086,978.0,208.0,2024-05-04,2022-12-23,Ms. Alexis Hernandez DVM,Debit
220.0,3595824008584748,255.0,7.0,2024-11-12,2022-10-31,John Livingston,Debit
952.0,4425853222308879900,124.0,55.0,2024-06-21,2023-11-04,Nicole Hughes,Debit
603.0,6011369195354470,231.0,15.0,2024-06-05,2020-09-01,Jessica Mason,Debit
718.0,4539652048262261400,424.0,272.0,2024-02-20,2021-08-21,Joseph Gross,Debit
654.0,371408976070322,98.0,64.0,2024-06-12,2021-06-29,Carrie Lawrence,Credit
459.0,501872165664,735.0,356.0,2024-11-03,2023-03-07,Benjamin Gonzalez,Credit
607.0,3583767950267719,604.0,493.0,2023-11-26,2022-09-18,Elizabeth Joyce,Credit
804.0,4054426004115154,642.0,325.0,2024-05-31,2021-05-13,Jeffrey Huynh,Check
750.0,2288133211805559,338.0,184.0,2024-05-09,2022-08-01,Amy Ortiz,Debit
170.0,213165722328808,88.0,30.0,2024-04-15,2021-05-10,Krista Lambert,Debit
636.0,5496946947751305,412.0,178.0,2024-04-11,2020-01-11,Steven Williams,Credit
828.0,4965901487678,799.0,208.0,2024-02-17,2021-04-05,Samuel Dunn,Check
262.0,213135493259128,635.0,15.0,2023-11-22,2023-02-18,Stephanie Medina,Check
737.0,6011385129805494,815.0,603.0,2023-12-08,2020-09-03,Austin Blankenship,Check
308.0,4476911892269718,905.0,693.0,2024-09-25,2022-11-19,Michael Sullivan,Debit
765.0,3512475975145664,722.0,528.0,2024-02-19,2020-04-22,Thomas Lee IV,Debit
970.0,347343600406330,297.0,271.0,2024-02-16,2022-01-24,Ryan Morris,Debit
73.0,502023067320,743.0,29.0,2024-01-12,2022-05-31,Cathy Jones,Credit
50.0,38275814793927,598.0,140.0,2024-07-14,2023-02-19,Vicki Martinez,Check
177.0,4987963292617782,643.0,136.0,2024-04-17,2020-10-13,Stephanie Lopez,Debit
987.0,180066294105195,101.0,72.0,2024-04-07,2022-12-05,Justin Wright,Debit
348.0,341669367980612,212.0,79.0,2024-11-11,2023-09-18,Sara Salazar,Debit
150.0,501834003524,425.0,411.0,2024-03-23,2022-11-03,Mary Marks,Credit
355.0,4661959694868372,259.0,36.0,2024-07-31,2021-08-22,Brian Bonilla,Check
880.0,3556345805504363,642.0,572.0,2024-06-02,2020-06-27,Elizabeth Johnson,Credit
274.0,36129239181113,940.0,795.0,2024-01-18,2022-08-09,Makayla Cook,Credit
171.0,4548944667412878,183.0,144.0,2024-05-16,2023-10-01,Holly Little,Check
742.0,676170016387,754.0,297.0,2024-10-09,2022-09-04,Albert Sullivan,Credit
91.0,373035132515144,770.0,726.0,2024-11-04,2022-10-07,Andrew Manning,Debit
283.0,345799523863547,903.0,296.0,2024-08-04,2022-12-25,Lisa Kelly,Check
536.0,4776792859647584,58.0,51.0,2024-06-22,2021-10-04,John Brown,Debit
215.0,567059459220,494.0,250.0,2024-06-23,2021-10-11,Elizabeth Pugh,Debit
585.0,4823336283175094,108.0,58.0,2024-08-27,2022-01-21,Kelly Knight,Check
911.0,5482234361490510,404.0,277.0,2024-07-06,2023-04-14,Thomas Taylor,Debit
374.0,6011633561274624,92.0,11.0,2023-11-28,2020-06-19,Lucas Clay,Credit
234.0,213132201837477,122.0,118.0,2024-11-02,2020-01-14,Todd Avila,Debit
212.0,180007967300754,439.0,313.0,2024-09-12,2021-07-12,Randy Weber,Credit
403.0,346401941581939,964.0,109.0,2024-04-12,2020-01-05,Kurt Harmon,Check
487.0,4060276028853104,764.0,475.0,2024-08-02,2021-07-20,Christopher Wilson,Check
479.0,4057617253645787,952.0,259.0,2024-06-04,2022-07-10,Thomas Villegas,Credit
117.0,3502303599980229,601.0,305.0,2024-08-24,2021-12-05,Mary Fields,Credit
302.0,4306835221968,669.0,195.0,2024-10-31,2021-08-31,Ashley Walters,Credit
518.0,2265387099105410,312.0,215.0,2023-12-09,2020-10-28,Tiffany Snyder,Credit
812.0,4822698760579,644.0,5.0,2024-06-25,2020-07-26,Micheal Stewart,Check
613.0,6516462602009462,418.0,330.0,2024-11-10,2020-08-21,Jessica Brooks,Credit
466.0,4739838341294,225.0,53.0,2024-03-09,2023-05-21,Cristian Hammond,Debit
625.0,579280716625,46.0,2.0,2024-07-01,2021-10-07,Caroline Jefferson,Check
643.0,3505103738411921,737.0,570.0,2024-06-03,2022-11-28,April Collier,Check
386.0,4748206035909,616.0,31.0,2024-02-13,2022-12-28,Mark Hodges,Check
560.0,2223743202855377,317.0,230.0,2024-04-18,2022-10-28,Kayla Gibson,Debit
207.0,2576974778596557,926.0,336.0,2024-10-21,2021-01-06,Anthony Bryant,Credit
180.0,180047915372372,723.0,679.0,2024-04-16,2020-05-25,Michael Thomas,Credit
489.0,4880891707272524144,916.0,458.0,2023-12-29,2022-06-20,Yesenia Holloway,Credit
627.0,345250412871498,529.0,23.0,2023-12-02,2021-11-22,Steven Moore,Check
738.0,676198890243,948.0,819.0,2024-01-02,2022-12-27,Catherine Clark,Credit
125.0,180038053664852,911.0,545.0,2024-04-20,2020-09-23,Kimberly Dixon,Credit
