caregiver_id,caregiver_name,certificate_type,certificate_expiration_date
842.0,Mr. John Thornton,B,2031-08-20
384.0,Michelle Coleman,C,2029-08-03
579.0,Carolyn Butler,C,2024-06-26
864.0,Suzanne Williams,B,2024-07-01
841.0,Gerald Davis,B,2027-04-21
337.0,Kristina Williams,C,2028-02-27
100.0,Benjamin Murphy,D,2028-04-15
875.0,Richard Schroeder,C,2025-08-30
857.0,Timothy Campos,C,2032-10-19
521.0,Juan Ross,D,2029-02-21
613.0,Daniel Christian,B,2025-07-02
947.0,Kaylee Garcia,B,2025-03-11
634.0,Ralph Waller,A,2027-07-28
355.0,Melissa Gonzales,A,2029-06-29
459.0,Frederick Martin,C,2031-06-13
848.0,Ricardo Wright,C,2026-10-26
649.0,David Patterson,D,2030-05-07
494.0,Michael Rivera,D,2025-11-10
123.0,Michael Richardson,B,2028-10-19
139.0,Ronald Holden,B,2031-11-18
