kid_id,name,dob,parent_id,medical_id,group_id
563.0,Benjamin Ortiz,2019-10-26,526.0,1356.0,5722.0
698.0,Michael Holt,2021-09-28,352.0,6228.0,3191.0
93.0,Debra Zavala,2021-11-19,816.0,8012.0,8526.0
648.0,Lindsay Bird,2021-01-26,917.0,5730.0,9858.0
244.0,Jessica Trujillo,2019-07-05,394.0,5073.0,8979.0
587.0,Antonio Anderson,2018-12-28,39.0,9090.0,1440.0
229.0,Sara Butler,2018-01-05,36.0,3324.0,908.0
936.0,Brandon Parks,2021-04-29,754.0,6177.0,8641.0
99.0,Katherine Jones,2020-06-27,634.0,7239.0,4101.0
94.0,Amanda Williams,2021-02-10,617.0,6555.0,9715.0
508.0,Denise Jacobson,2018-08-01,916.0,7391.0,6909.0
736.0,John Cruz,2020-01-05,753.0,8463.0,2792.0
432.0,Jennifer White,2021-07-11,124.0,9969.0,5069.0
476.0,Michael Little,2022-02-01,245.0,2862.0,104.0
43.0,Brandon Baker Jr.,2023-05-15,566.0,6790.0,4721.0
105.0,Dawn Smith,2023-07-07,201.0,2742.0,8493.0
210.0,Michael Hester,2021-08-29,409.0,7539.0,9100.0
292.0,Brian Brooks DDS,2023-06-08,69.0,1250.0,8491.0
873.0,Susan Jefferson,2019-08-07,875.0,9309.0,5298.0
779.0,Lindsay Perry,2020-06-29,842.0,3340.0,7134.0
329.0,Matthew Bond,2019-01-04,966.0,6867.0,9578.0
477.0,Kyle Mercado,2022-03-17,212.0,3890.0,4338.0
940.0,Erin Garcia,2019-11-23,125.0,137.0,2029.0
419.0,Jerry Miller,2018-09-09,95.0,6251.0,8214.0
88.0,Rachel Jenkins,2022-06-06,960.0,7378.0,8047.0
183.0,Randy Bates,2019-02-23,820.0,5362.0,7370.0
407.0,Susan Marshall,2022-03-19,381.0,7936.0,7790.0
932.0,Stacie Green,2022-05-10,11.0,3000.0,9410.0
234.0,Natalie Walker,2022-06-25,66.0,6782.0,9491.0
538.0,Edward Harris,2023-06-22,516.0,5974.0,1130.0
728.0,Joseph Hudson,2021-07-02,675.0,6100.0,7323.0
700.0,Christina Oneal,2019-01-18,313.0,8184.0,2147.0
570.0,William Allen,2018-03-19,398.0,4867.0,9849.0
561.0,Ian Harris,2022-02-17,872.0,7094.0,3248.0
227.0,Margaret Kemp,2023-07-04,374.0,9554.0,7534.0
425.0,Thomas Austin,2021-02-12,294.0,3906.0,1271.0
868.0,Hannah Whitehead,2018-04-19,761.0,3492.0,3050.0
230.0,Sarah Wallace,2021-08-01,808.0,6035.0,1933.0
438.0,James Santiago,2018-12-24,437.0,820.0,7811.0
130.0,Daniel Blake,2020-02-25,861.0,3752.0,3399.0
185.0,Kayla Austin,2021-05-03,980.0,5355.0,492.0
545.0,Karen Carter,2021-10-20,273.0,9210.0,6293.0
361.0,Richard Bullock,2018-04-05,400.0,437.0,4916.0
655.0,James Jordan,2023-03-05,806.0,2047.0,5746.0
742.0,John Green,2018-05-13,627.0,926.0,2216.0
891.0,Dana Harris,2023-07-01,543.0,736.0,6998.0
647.0,Manuel Barker,2022-09-24,113.0,8029.0,6338.0
933.0,John Ballard,2022-01-23,795.0,5392.0,2856.0
992.0,Donna Harper,2020-12-18,148.0,6006.0,1467.0
14.0,Terri Perkins,2019-08-17,632.0,6325.0,4683.0
317.0,Matthew Hurst,2023-03-30,389.0,2436.0,7944.0
528.0,Linda Smith,2022-09-19,460.0,1217.0,9922.0
459.0,Michael Estes,2022-05-18,0.0,8510.0,2306.0
513.0,Jade Atkinson,2023-08-17,390.0,7823.0,2944.0
188.0,Joshua Conner,2018-05-18,569.0,6398.0,3114.0
272.0,Mr. Daniel Rollins,2019-07-30,977.0,6331.0,3157.0
672.0,Frances Guerra,2018-04-04,676.0,2102.0,4691.0
540.0,Abigail Howell,2021-02-04,446.0,1673.0,5358.0
822.0,Casey Rios,2019-06-04,823.0,9254.0,5536.0
623.0,Joseph Banks,2022-07-20,179.0,711.0,1796.0
660.0,Joshua White,2018-05-21,552.0,7694.0,431.0
348.0,Timothy Murray,2020-11-27,403.0,2135.0,2362.0
264.0,Heather Kelly,2022-04-09,311.0,7375.0,1478.0
333.0,Edward Bryant,2022-03-03,920.0,1334.0,5947.0
630.0,Ashley Anderson,2023-09-25,809.0,4042.0,1227.0
81.0,John Sims,2020-07-04,615.0,7483.0,9002.0
794.0,Brian Bradford,2022-06-24,525.0,8400.0,9072.0
221.0,Jacob Walsh,2017-12-05,198.0,2737.0,3137.0
301.0,Michael Cook,2019-04-15,943.0,8497.0,3143.0
102.0,Dr. Megan Raymond DDS,2022-07-02,80.0,5290.0,7213.0
453.0,Sandra Daniels,2022-06-12,762.0,1844.0,4325.0
106.0,Barbara Williams,2019-04-10,548.0,9553.0,4781.0
877.0,William Hobbs,2019-06-24,734.0,4640.0,7395.0
473.0,Julie Thomas,2019-05-23,515.0,3483.0,9329.0
16.0,Brian Bush,2018-04-25,949.0,8928.0,4008.0
487.0,James Andrade,2020-12-09,353.0,1698.0,2928.0
705.0,Roberto Robertson,2019-09-30,399.0,6210.0,8721.0
989.0,Kelly Garcia,2023-10-17,684.0,5286.0,2149.0
912.0,Adrian Klein,2017-11-29,458.0,4273.0,795.0
246.0,Shannon Moran MD,2022-10-25,31.0,5698.0,3989.0
121.0,Kerry Burch,2018-09-07,817.0,3951.0,8210.0
366.0,Steven Hardy,2018-04-07,729.0,287.0,7256.0
584.0,Brandon Mcdonald,2017-12-29,331.0,624.0,2368.0
666.0,Manuel Bird,2021-02-04,778.0,2207.0,9345.0
775.0,Seth Jones,2020-12-14,181.0,9140.0,3618.0
29.0,David Herrera,2021-01-30,436.0,9285.0,9062.0
359.0,Kelly Savage,2022-03-03,136.0,3766.0,421.0
976.0,Emily Harris,2018-11-11,654.0,3123.0,6266.0
270.0,Heather Price,2019-08-02,974.0,9039.0,4521.0
26.0,Michael Yang,2022-02-21,589.0,7529.0,9952.0
983.0,William Allen,2021-05-29,490.0,4589.0,1276.0
431.0,Matthew Hernandez,2018-10-09,682.0,8002.0,5193.0
232.0,Matthew Ramos,2018-11-03,59.0,1038.0,6977.0
708.0,James Fox,2019-06-05,919.0,5527.0,9021.0
804.0,Anthony Bennett,2022-08-25,276.0,6114.0,4645.0
211.0,Manuel Johnson,2019-12-22,667.0,4608.0,8906.0
638.0,Phillip Mejia,2021-03-24,258.0,3799.0,6780.0
922.0,Jennifer Ross,2022-11-30,942.0,3217.0,6746.0
312.0,Michael Graves,2018-12-14,247.0,1541.0,3900.0
985.0,Heather Sanchez,2020-08-28,97.0,535.0,3282.0
