staff_id,name,dob,phone,address,gender,caregiver_id,transaction_id
139.0,Jeffrey Patton,1995-10-03,783.650.2196x032,"9141 Henry Stream Apt. 933
Melindaport, ND 36517",Male,61.0,536.0
664.0,Richard Wiley,1985-08-18,602-877-2965x65724,"379 Frederick Track
Derekmouth, NJ 28046",Other,633.0,829.0
465.0,Kim Greene,1995-05-14,(886)732-1516x051,"258 Ariel Street
Timothyview, NC 40241",Male,852.0,824.0
905.0,Peter Paul,1987-04-03,477-283-8555x091,"37847 Sheila Ranch Suite 046
Marcusburgh, KS 33476",Male,856.0,234.0
182.0,Jason Holt,1985-09-26,7898452819,"5144 Cole Cove
Lake Craigside, NY 99529",Other,147.0,13.0
653.0,Cindy Dalton,1989-08-10,986.637.9504x7346,"903 Rivas Dam Suite 108
North Michelestad, GA 89145",Other,17.0,928.0
26.0,Timothy Goodwin,2000-01-16,(276)691-1484x6059,"5109 Reeves Course
Matthewstad, OH 95082",Male,112.0,510.0
87.0,Sonya Holmes,2003-11-15,(851)294-2175x37605,"328 Riley Villages Suite 662
West Roy, TX 78345",Female,988.0,916.0
202.0,Darryl Cox,1995-10-09,675-486-6555,"5353 Cesar Place Apt. 358
North David, DE 67336",Other,167.0,559.0
403.0,James Fuller,1996-03-23,(560)386-5852x02491,"Unit 9902 Box 7898
DPO AE 53093",Other,639.0,933.0
126.0,Shirley Miller,1996-11-27,466.649.6185,"450 Lynn Trail Suite 996
Mercadoview, OR 44004",Other,84.0,875.0
992.0,Mandy Kerr,2001-12-25,236-973-5797x1521,"90826 Wilson Locks Apt. 072
East Kelli, WI 31335",Other,994.0,32.0
120.0,Jenna Moore,1994-10-20,399.475.8346x940,"6404 Ruben Mews
Lake Wanda, VT 51502",Female,893.0,884.0
568.0,David Hill,1989-02-06,812-968-7205x61932,"307 Martinez Skyway
Juliebury, DC 77475",Other,435.0,833.0
331.0,Nancy Hardy,1987-02-07,+1-812-792-6304,"2569 Joseph Landing Apt. 417
Mcdonaldbury, OK 92195",Other,115.0,377.0
789.0,Eric Scott,1986-12-27,+1-539-242-6299,"07144 Jason Ville Suite 722
Smithhaven, PA 37375",Other,402.0,513.0
704.0,Alan Jenkins,2003-10-23,222-635-5452x5293,"9364 Kerr Camp
Port Annamouth, PA 18081",Male,484.0,842.0
119.0,Karla Thomas,2003-07-27,285.786.6476x93010,"02230 Kaitlyn Lodge
West Ryan, HI 44943",Male,652.0,35.0
606.0,Jody Ewing,2002-10-12,508-618-9209x466,"04219 Vickie Islands Apt. 311
New Stevenshire, AZ 62685",Female,685.0,514.0
544.0,Mary Benson,1988-11-09,335-606-5163,"67757 Melissa Plaza
Monicafort, TX 75048",Male,569.0,496.0
