transaction_id,card_number,total,amount,due_date,date,name,type
95.0,4176950683866608,415.0,189.0,2024-04-21,2021-11-21,Patricia Bishop,Debit
645.0,36357649273978,855.0,438.0,2024-01-16,2020-04-21,Mr. Roger Dawson PhD,Credit
63.0,30560242490156,828.0,290.0,2024-04-23,2023-07-30,Tiffany Parker,Debit
575.0,180095139991196,141.0,19.0,2024-08-28,2022-04-01,Melinda Wilson,Check
325.0,676250089163,52.0,45.0,2024-05-05,2020-12-14,John Sanders,Check
11.0,180071503304035,570.0,352.0,2024-11-08,2020-05-31,Daniel Hurst,Check
511.0,373984815923663,405.0,310.0,2024-03-27,2021-09-30,Justin Turner,Debit
226.0,3554409655270988,637.0,195.0,2024-11-15,2023-02-02,Victoria Bailey,Check
356.0,3584285580970973,804.0,216.0,2024-02-19,2022-03-05,Jennifer Rogers,Check
960.0,675994857620,849.0,416.0,2023-12-15,2020-07-09,Megan Stevenson,Check
669.0,4348772672348460,631.0,371.0,2024-05-09,2023-04-30,Tara Evans,Debit
349.0,4039135858441,280.0,129.0,2024-02-23,2022-03-29,Randall Murphy,Credit
158.0,676279258013,674.0,409.0,2024-10-07,2023-07-21,Mary Wilkerson,Credit
750.0,30289047033975,859.0,195.0,2024-01-21,2022-01-14,Edward Castillo,Debit
1.0,344449952197808,509.0,216.0,2024-07-30,2023-06-07,Angela Mcdonald,Check
5.0,4446795763151,937.0,925.0,2024-09-25,2023-03-22,Jennifer Phillips,Debit
179.0,060477497469,262.0,224.0,2023-12-05,2023-05-14,Laura Johnson,Check
549.0,2619990139392279,548.0,273.0,2024-04-30,2022-06-18,Michael Parsons,Credit
344.0,30448200297518,447.0,376.0,2024-06-09,2021-12-12,Kristen Malone,Check
2.0,4309243726073424333,323.0,228.0,2024-04-28,2021-09-21,Luis Cooley,Check
282.0,4559737420472,933.0,918.0,2024-03-29,2020-09-25,Kimberly Brooks,Credit
784.0,4351451851185,457.0,368.0,2024-07-17,2020-02-10,Martha Daniel,Check
760.0,4617539883808,886.0,489.0,2024-06-01,2020-01-24,Austin Green,Check
865.0,3525152122236267,180.0,132.0,2024-04-08,2021-06-08,Tony Mayo,Check
106.0,4789715217126466820,958.0,766.0,2024-03-08,2022-05-16,Jaime Adams,Check
136.0,349316911952943,183.0,112.0,2024-02-24,2023-08-25,Jesse Garcia,Debit
878.0,5516991616189649,592.0,570.0,2024-02-10,2022-08-31,Shannon Obrien DDS,Debit
124.0,379303224157835,133.0,39.0,2024-06-13,2023-01-21,Curtis Foster,Debit
215.0,4338892975079711,342.0,109.0,2024-05-18,2022-12-17,Barry Mclean,Credit
257.0,3575353523429712,423.0,105.0,2024-03-10,2022-11-20,Julie Franklin,Check
749.0,2718187270589090,212.0,47.0,2024-03-21,2022-12-17,Mr. Robert Moore,Check
126.0,213165261258242,535.0,500.0,2024-11-05,2020-06-08,Jerry Phillips,Credit
739.0,4219533122327454,198.0,156.0,2024-06-09,2023-03-31,Brian Mcdonald,Check
618.0,3515792962773630,972.0,256.0,2024-05-09,2023-06-15,Mark Johnston,Credit
369.0,4898653646822307,12.0,4.0,2024-10-07,2023-03-15,John Williams,Debit
275.0,4965046900627,241.0,15.0,2024-07-08,2020-11-09,Anthony Stewart,Check
947.0,3543134775690279,851.0,244.0,2024-05-24,2021-09-19,Sherry Johnson,Check
928.0,4965036297656554,760.0,90.0,2024-07-03,2021-10-24,Sherry Nolan,Check
361.0,4480412683345693555,298.0,58.0,2024-10-24,2022-07-31,James Carter,Credit
87.0,2612048836640917,240.0,64.0,2024-03-16,2020-02-27,Kurt Chavez,Credit
507.0,4265290198162,91.0,3.0,2024-08-30,2022-07-18,Brent Williams,Debit
920.0,3551755332574702,1000.0,543.0,2023-12-19,2022-05-07,Carla Lynn,Credit
903.0,180025792063454,959.0,48.0,2024-09-20,2021-08-01,Richard Santana,Credit
751.0,3566097076204144,162.0,79.0,2024-04-21,2022-11-01,Dennis Jordan,Credit
999.0,341285915307164,779.0,622.0,2024-10-20,2023-09-10,Rhonda Young,Check
90.0,4203592736536350126,57.0,14.0,2024-04-23,2022-11-27,Johnathan Torres,Credit
795.0,4060515004620,210.0,198.0,2024-01-24,2022-06-19,Haley Howard,Credit
155.0,4000088810483423060,468.0,367.0,2023-12-12,2021-07-11,Christopher Lewis,Credit
