employee_id,employee_name,birthdate,address,email,job_title,salary_year,latitude,longitude
8,Danielle Perkins,1979-11-18,"9404 Todd Park
Phillipsmouth, VA 94362",vherrera@example.net,Maintenance,20000,-1.559942,70.078107
11,Ashley Williams,2004-08-08,"1283 Michael Brook
Susanport, MH 04461",xavery@example.net,Manager,40000,27.4079395,-42.020295
22,Laurie Reyes,1953-02-28,"958 Daniel Squares Apt. 888
Lake Jessica, UT 13187",dmiller@example.net,Cheff,23000,-61.4058375,-102.652595
86,April Woods,1991-05-28,"21260 Chavez Fork Apt. 895
Molinatown, UT 02369",cheryl28@example.com,Maintenance,20000,36.2016055,-24.547999
33,Gabrielle Knight,1964-09-24,"138 Powers Way Apt. 429
North Courtneybury, HI 90412",kathleenpeterson@example.org,Cheff,23000,-22.957796,165.301901
28,Gail Johnson,1995-05-16,"8100 Ortega Creek
Joshuahaven, GU 56664",paulanelson@example.net,Maintenance,20000,-41.118256,-137.917249
75,Jacob Dean,1996-08-10,"0536 Williams Lock Apt. 207
West Amy, KY 13897",benjamin45@example.net,Manager Assistant,21000,48.8991355,138.912909
21,Lisa Martin,1998-05-22,"2439 Luis Prairie
Robinfort, TN 19125",denise96@example.org,Teacher Assistant,27000,87.322126,124.229855
82,Stephanie Medina,2001-03-09,"660 Kenneth Forest
Barrettland, AK 40927",kennethjenkins@example.org,Teacher,30000,59.481545,-175.586480
93,Jeremy Smith,1998-04-06,"4461 Webb Path
West Christina, OK 71852",jeffreygross@example.com,Teacher,30000,55.7798915,-2.738809
48,Sandra Love,1989-10-15,"2191 Jonathan Way Apt. 100
South Jamie, FM 93558",stevensimon@example.org,Teacher Assistant,27000,-50.138769,75.777089
57,Christopher Harris,1989-01-11,"342 Jose Points Apt. 696
Allenview, TX 33469",karaberry@example.org,Teacher Assistant,27000,65.190431,63.894173
35,Randall Bell,2000-10-18,"174 Miles Mews Apt. 011
Glenstad, TX 40496",brooksderrick@example.org,Teacher Assistant,27000,44.9321285,-117.635467
4,Maria Romero,1982-01-30,"1517 Jordan Valley Suite 756
Hannahfurt, NC 63180",williamsrobert@example.org,Nurse,35000,38.390162,-77.382021
60,Lisa Frank,1998-07-06,"767 Williams Rue Suite 206
Kingport, FL 96446",willisrichard@example.com,Teacher Assistant,27000,-87.572486,-136.658601
49,Casey Lane,1997-03-29,"48712 Brooks Burg
New Frances, SD 81437",walkerjeffrey@example.org,Teacher Assistant,27000,-42.9439735,-72.266757
68,Craig Jones,2005-03-01,"1165 James Cliff
Lake Amy, OK 27389",nbennett@example.org,Teacher,30000,44.1350355,87.170258
72,Andrew Mcintyre,1969-08-20,"356 Ryan Ford
New Kennethfort, VA 61750",brownjoann@example.net,Teacher,30000,-34.3320375,-81.338495
31,Angela Mercer,2000-03-14,"11065 Gonzales Plain Apt. 531
Loweview, WY 23220",jefferymoore@example.net,Teacher,30000,-15.156395,34.899824
4,Laurie Garrison,1996-06-13,"8740 Smith Keys
Darrenchester, GA 99429",valdezjustin@example.org,Teacher,30000,-13.815374,99.948593
42,Jeffrey Manning,1967-01-17,"93175 Autumn Ferry Apt. 141
Lake Jonview, CA 87637",murraysandra@example.org,Teacher,30000,15.9404665,105.655344
18,Kayla Nichols,1965-06-20,"07055 Galloway Plains Suite 697
New Jeremyburgh, IN 82469",jennifersantos@example.org,Teacher,30000,-80.305536,119.386931
66,Joshua Zuniga,1997-12-11,"4255 Michael Shoal
Jimmytown, MA 37735",marymurphy@example.org,Teacher,30000,89.672314,-153.747129
