kid_id,kid_name,dob,parent_id,group_id,food_type,schedule
200.0,Tammy Bailey,2010-09-20,839924,1012.0,food-allergy,full time
201.0,Andrea Cross,1964-03-07,237722,1012.0,food-allergy,full time
202.0,Ryan Cantu,1917-10-01,487148,1012.0,food-normal,full time
203.0,Michael Dickerson,2000-09-27,193265,1034.0,food-normal,part time
204.0,Nathaniel Martinez,1933-02-14,688563,1034.0,food-normal,full time
205.0,Scott Sampson,1992-05-23,212851,1034.0,food-allergy,full time
206.0,Alison Wright,1956-06-15,291164,1012.0,food-allergy,full time
207.0,Elizabeth Garcia,1995-12-14,347214,1034.0,food-normal,full time
208.0,Mark Owens,1945-10-01,319577,1012.0,food-normal,full time
209.0,Nancy Brown,2011-02-25,297275,1034.0,food-normal,full time
210.0,Maxwell Lewis,1953-06-12,758788,1012.0,food-normal,full time
211.0,Emily Bennett,1963-03-07,678339,1034.0,food-allergy,part time
212.0,Theresa Campbell,1959-08-02,269799,1012.0,food-normal,full time
213.0,Mr. Thomas Smith Jr.,1959-06-11,867452,1034.0,food-normal,part time
214.0,Johnny Ball,1985-05-11,635898,1034.0,food-allergy,full time
215.0,Jennifer Keller,1957-10-20,861159,1034.0,food-normal,part time
216.0,Ms. Toni Dennis,1947-08-21,911721,1012.0,food-normal,part time
217.0,Michael Castillo,2007-10-15,683269,1012.0,food-normal,full time
218.0,Melissa Garcia,1971-10-11,191769,1012.0,food-normal,part time
219.0,Scott Robinson,1975-02-04,385675,1012.0,food-allergy,part time
220.0,Derek Chapman,1914-12-14,192266,1012.0,food-allergy,part time
221.0,Jerry Simpson,1951-05-21,527626,1034.0,food-normal,full time
222.0,Charles Johnson,1917-11-03,881844,1012.0,food-allergy,part time
223.0,Katelyn Thomas,1963-10-04,882229,1012.0,food-normal,full time
224.0,James Green,1928-07-04,272265,1012.0,food-allergy,full time
225.0,James Adams,1959-11-22,712338,1012.0,food-normal,part time
226.0,William Ortiz,1921-10-10,733938,1034.0,food-allergy,full time
227.0,John Price,1999-06-14,778951,1034.0,food-normal,full time
228.0,Jamie Ramos,2019-08-24,937849,1012.0,food-allergy,part time
229.0,Jesse Macias,1958-05-15,483479,1012.0,food-normal,full time
230.0,Roger Jordan,2018-06-17,743777,1034.0,food-allergy,full time
231.0,Briana Hall,1974-05-30,135398,1012.0,food-normal,full time
232.0,Vanessa Hernandez,1924-08-28,728565,1034.0,food-allergy,full time
233.0,Dan Clark,1995-05-28,637721,1012.0,food-allergy,part time
234.0,Larry Graham,1960-08-28,468357,1034.0,food-allergy,part time
235.0,Joshua Day,1920-06-15,283343,1012.0,food-normal,full time
236.0,Cynthia Lopez,1945-05-08,236632,1012.0,food-normal,part time
237.0,Cheryl Cain,1940-07-07,881396,1034.0,food-normal,full time
238.0,Colleen Berger,1934-10-30,432527,1034.0,food-normal,full time
239.0,Jeremy Garza,1967-03-28,687135,1034.0,food-normal,part time
240.0,Monica Johnson,1946-04-16,371554,1012.0,food-allergy,full time
241.0,Julie Sims,1998-02-02,633912,1012.0,food-allergy,full time
242.0,Scott Roberts,1967-05-02,683981,1012.0,food-allergy,full time
243.0,Juan Gonzales,1988-11-12,173848,1034.0,food-allergy,full time
244.0,Melinda Williams,1946-05-06,216596,1034.0,food-allergy,full time
245.0,Robert Moore,2019-03-28,192324,1012.0,food-allergy,part time
246.0,Patricia Benson,2003-09-29,312888,1034.0,food-normal,part time
247.0,Cameron Boyd,1918-08-09,269468,1012.0,food-normal,part time
248.0,Timothy Carr,2022-10-05,672429,1012.0,food-normal,part time
249.0,Virginia Brown,1983-07-29,992587,1012.0,food-normal,part time
250.0,Kristy Jordan,1929-07-08,486849,1034.0,food-allergy,part time
251.0,Danielle Potter,2010-08-03,516186,1034.0,food-allergy,part time
252.0,Elizabeth Adams,1975-06-22,954299,1034.0,food-normal,part time
253.0,David Cox,1932-02-08,553794,1012.0,food-normal,full time
254.0,Alexander Brown,1949-12-14,757639,1034.0,food-allergy,full time
255.0,Michelle Goodman,1915-08-09,768345,1012.0,food-normal,part time
256.0,Logan Willis,1991-05-26,371275,1034.0,food-normal,part time
257.0,Kenneth Flores,1996-11-26,785727,1034.0,food-allergy,part time
258.0,Bruce Williams,2002-09-25,269488,1012.0,food-allergy,full time
259.0,Catherine Holland,1962-07-02,882326,1012.0,food-normal,full time
260.0,Samantha Gonzalez,1931-12-28,737171,1012.0,food-allergy,part time
261.0,Cristina Taylor,2013-11-03,747752,1034.0,food-normal,full time
262.0,Jamie Williams,1990-09-19,245339,1012.0,food-normal,part time
263.0,Lindsey Kidd,1940-01-30,291283,1034.0,food-allergy,full time
264.0,Patricia Obrien,1910-08-24,285335,1012.0,food-normal,full time
265.0,Brian Holland,1952-07-03,425838,1034.0,food-allergy,part time
266.0,Levi Stewart,1979-01-04,968438,1034.0,food-normal,part time
267.0,Louis James,1976-09-28,257828,1034.0,food-normal,part time
268.0,Jennifer Gutierrez,1999-09-08,219297,1034.0,food-allergy,full time
269.0,Johnny Copeland,1994-05-08,896183,1012.0,food-normal,part time
270.0,Heather Garcia,1918-11-19,541937,1012.0,food-normal,full time
271.0,Anthony Martinez,1945-08-29,655813,1034.0,food-normal,part time
272.0,Jennifer Anderson,1982-09-23,735261,1034.0,food-allergy,part time
273.0,Jessica Mitchell,1923-01-29,659325,1034.0,food-normal,part time
274.0,Jacob Nielsen,1910-04-05,217858,1034.0,food-allergy,full time
275.0,Crystal Turner,1913-04-21,431431,1034.0,food-normal,part time
276.0,John Hernandez,1916-05-14,381296,1012.0,food-normal,part time
277.0,Mark Hoffman,1947-09-12,954579,1034.0,food-normal,part time
278.0,Jeffrey Roberts,1933-10-08,853872,1012.0,food-normal,part time
279.0,Danielle Sandoval,1949-06-21,675233,1012.0,food-normal,full time
280.0,Karen Peterson,1939-02-04,878984,1034.0,food-allergy,part time
281.0,Regina Davis,1936-05-02,953921,1034.0,food-allergy,part time
282.0,Jacob Berg,1960-12-14,485661,1034.0,food-normal,full time
283.0,Nicole Melton,1943-09-23,497519,1012.0,food-normal,full time
284.0,Heather Christian,1914-07-08,587536,1012.0,food-allergy,part time
285.0,Marc Green,2005-04-26,676439,1034.0,food-allergy,full time
286.0,Michael Myers,1980-05-10,559673,1012.0,food-normal,part time
287.0,Jessica Ashley MD,1909-10-03,341561,1012.0,food-normal,part time
288.0,Nicholas Warner,1994-08-26,142141,1012.0,food-allergy,part time
289.0,Matthew Gonzalez,1908-06-18,956615,1034.0,food-normal,part time
290.0,Joseph Tapia,2018-12-21,491165,1034.0,food-normal,full time
291.0,Donna Peters,1972-06-11,388785,1012.0,food-normal,full time
292.0,Jerry Butler,1943-03-14,827854,1012.0,food-allergy,full time
293.0,Steven Mclean,2021-10-21,596311,1034.0,food-allergy,part time
294.0,Mark Wiggins,1914-10-04,248261,1034.0,food-normal,part time
295.0,Pamela Bolton,1996-07-13,864946,1012.0,food-allergy,full time
296.0,Gabrielle Matthews,1921-03-23,196739,1034.0,food-allergy,full time
297.0,Timothy Booker,1937-11-12,377532,1012.0,food-allergy,full time
298.0,Linda Harris,1995-08-24,571612,1012.0,food-normal,full time
299.0,Logan Williams,1931-05-19,818698,1034.0,food-normal,full time
