staff_id,name,dob,phone,certificate_doc_number,certification_expiration_date,job,group_id
43,Nicholas Riley,1987-11-16,366-457-7590,GYM-516925,1990-12-10,Manager,Null
44,Stephen Jones,2012-11-20,237-986-0719,YBZ-881165,2016-09-16,Caregiver,1034.0
45,Shannon Brown,1978-05-06,960-128-0965,LRQ-229789,1982-04-05,Caregiver,1012.0
46,Crystal Baker,2001-10-04,046-580-3295,PXH-184689,2004-07-21,Caregiver,1034.0
47,Russell Lopez,1995-08-25,614-010-7570,IEJ-318262,1999-06-17,Caregiver,1012.0
48,William Anthony,1989-11-20,755-349-6682,MIK-931488,1993-05-05,Caregiver,1012.0
49,Calvin Miller,1979-08-04,233-931-5630,SQJ-993665,1984-07-07,Caregiver,1012.0
50,Jennifer Potts,1999-02-18,840-870-0336,YTX-776162,2002-04-17,Caregiver,1012.0
51,Carolyn Lawson,1981-01-25,624-377-4630,EBS-629755,1984-01-27,Caregiver,1012.0
52,Jessica Jones,2015-02-07,725-775-4310,YHX-362365,2018-01-04,Caregiver,1034.0
53,Pamela Henderson,2016-05-25,018-543-5218,DMY-732597,2020-02-25,Caregiver,1034.0
54,William Johnson,1971-04-10,064-969-2877,APF-639279,1975-07-23,Caregiver,1012.0
55,Louis Pace,2016-08-01,407-320-3914,LOK-616534,2019-07-20,Caregiver,1012.0
56,Christopher Curtis,1976-09-07,963-532-1539,GXS-684433,1979-09-05,Caregiver,1012.0
57,Christina Hicks,2003-10-29,397-957-8556,KWG-252999,2008-08-09,Caregiver,1034.0
58,Brianna Willis,2023-09-13,358-235-3003,ZEV-163733,2026-08-16,Caregiver,1012.0
59,Beth Bryant,1974-04-29,691-566-2216,XKA-338176,1978-09-04,Caregiver,1034.0
60,Terry Ellison,1994-09-23,184-347-1685,SZZ-485849,1997-12-23,Caregiver,1012.0
61,Richard Jordan,2016-05-12,316-360-2683,ZSB-458468,2020-12-02,Cleaner,Null
62,Joshua Acevedo,1971-05-20,200-605-0357,ZKQ-857997,1974-11-21,Cleaner,Null
63,Rebecca Hanna,2011-04-29,620-290-8858,MQH-343518,2016-02-09,Headmistress,Null
64,Richard Conley,2001-08-13,196-935-5393,QYZ-692925,2004-06-17,Secretary,Null
